Timestamp,Price,CallPut,UnderLastTradePrice
2021-06-16 15:54:27.841,47.95,C,606.4532
2021-06-16 15:57:53.690,46.9,C,605.0253
2021-06-17 09:31:10.295,46.1,C,603.785
2021-06-17 09:32:29.525,42,P,604.54
2021-06-17 09:38:43.522,40.93,P,606.7167
2021-06-17 09:46:06.212,40.55,P,606.67
2021-06-17 09:46:27.823,40,P,607.99
2021-06-17 09:55:25.083,49.46,C,610.27
2021-06-17 09:58:42.868,38.92,P,610.24
2021-06-17 09:59:01.011,38.5,P,610.8901
2021-06-17 10:01:28.849,48.6,C,609.5085
2021-06-17 10:04:48.651,48.62,C,609.3499
2021-06-17 10:05:18.122,39.33,P,609.19
2021-06-17 10:12:28.144,39.1,P,609.04
2021-06-17 10:13:37.421,39,P,609.3
2021-06-17 10:20:45.591,38.5,P,610.57
2021-06-17 10:20:50.074,38.5,P,610.71
2021-06-17 10:20:50.368,49.9,C,610.7971
2021-06-17 10:20:50.368,49.9,C,610.7971
2021-06-17 10:21:27.128,49.75,C,611.569
2021-06-17 10:31:02.283,37.5,P,613.2001
2021-06-17 10:31:49.954,37,P,612.62
2021-06-17 10:32:16.461,50.25,C,612.48
2021-06-17 10:37:44.310,37.15,P,612.27
2021-06-17 10:40:09.394,50,C,611.86
2021-06-17 10:41:58.657,50.2,C,612.75
2021-06-17 10:41:58.761,50.23,C,612.75
2021-06-17 10:48:56.530,50,C,612.1543
2021-06-17 10:52:23.409,50.85,C,613.4118
2021-06-17 11:01:52.150,50.07,C,612.5182
2021-06-17 11:10:02.445,36.5,P,614.67
2021-06-17 11:10:02.446,36.5,P,614.67
2021-06-17 11:12:41.568,36.5,P,614.705
2021-06-17 11:17:32.629,36.42,P,614.885
2021-06-17 11:19:12.437,37,P,614.6201
2021-06-17 11:19:12.437,37,P,614.6201
2021-06-17 11:25:57.020,36.67,P,614.64
2021-06-17 11:29:16.205,51.97,C,615.43
2021-06-17 11:29:46.718,36.03,P,616
2021-06-17 11:31:59.623,52.9,C,616.75
2021-06-17 11:39:19.248,53.82,C,618
2021-06-17 11:41:37.138,35.23,P,618.11
2021-06-17 11:42:52.052,53.7,C,618.628
2021-06-17 11:42:58.805,54,C,618.64
2021-06-17 11:42:58.910,54,C,618.64
2021-06-17 11:48:50.295,53.75,C,618.21
2021-06-17 11:49:39.345,53.75,C,618.33
2021-06-17 11:52:42.067,35.47,P,617.76
2021-06-17 11:53:05.121,52.8,C,617.25
2021-06-17 11:54:00.665,52.05,C,616.3731
2021-06-17 12:07:11.024,52.35,C,616.6553
2021-06-17 12:19:48.275,36.79,P,613.885
2021-06-17 12:19:48.276,36.78,P,613.885
2021-06-17 12:41:43.758,36.7,P,614.66
2021-06-17 12:48:19.025,37,P,613.75
2021-06-17 12:48:19.275,37,P,613.51
2021-06-17 12:55:18.074,51.46,C,614.57
2021-06-17 13:26:52.673,35.5,P,617.36
2021-06-17 13:27:41.455,53.14,C,617.15
2021-06-17 13:30:59.353,35.47,P,617.69
2021-06-17 13:32:39.606,35.35,P,617.5471
2021-06-17 13:32:46.885,35,P,618.4
2021-06-17 13:32:49.360,35,P,618.29
2021-06-17 13:33:17.599,35,P,618.545
2021-06-17 13:39:25.379,54.35,C,619.14
2021-06-17 13:43:37.263,54.95,C,619.895
2021-06-17 13:53:16.241,54.8,C,620.491
2021-06-17 14:05:09.643,35.02,P,619.166
2021-06-17 14:10:11.449,35.15,P,618.67
2021-06-17 14:24:32.460,34.54,P,620.301
2021-06-17 14:42:47.480,34.88,P,619.2
2021-06-17 14:42:47.480,34.88,P,619.2
2021-06-17 14:51:45.998,35.1,P,618.875
2021-06-17 14:54:11.129,34.98,P,619.1462
2021-06-17 15:10:00.178,35.05,P,618.2581
