TradingDate,CallPut,StrikePrice,Quantity
2021-06-14,C,890,6
2021-06-14,P,890,0
2021-06-14,C,900,32
2021-06-14,P,900,0
2021-06-14,C,910,135
2021-06-14,P,910,0
2021-06-14,C,920,192
2021-06-14,P,920,0
2021-06-14,C,930,246
2021-06-14,P,930,0
2021-06-14,C,940,321
2021-06-14,P,940,0
2021-06-14,C,950,75
2021-06-14,P,950,0
2021-06-14,C,960,211
2021-06-14,P,960,0
2021-06-14,C,970,270
2021-06-14,P,970,0
2021-06-14,C,980,51
2021-06-14,P,980,0
2021-06-14,C,990,153
2021-06-14,P,990,0
2021-06-14,C,1000,62
2021-06-14,P,1000,0
2021-06-14,C,1025,0
2021-06-14,P,1025,0
2021-06-14,C,1050,1
2021-06-14,P,1050,0
2021-06-14,C,1075,0
2021-06-14,P,1075,0
2021-06-14,C,1100,0
2021-06-14,P,1100,0
2021-06-14,C,1125,0
2021-06-14,P,1125,0
2021-06-14,C,1150,0
2021-06-14,P,1150,0
2021-06-14,C,1175,0
2021-06-14,P,1175,0
2021-06-14,C,1200,0
2021-06-14,P,1200,0
2021-06-14,C,1225,0
2021-06-14,P,1225,1
2021-06-15,C,50,0
2021-06-15,P,50,0
2021-06-15,C,100,0
2021-06-15,P,100,0
2021-06-15,C,150,0
2021-06-15,P,150,1
2021-06-15,C,200,0
2021-06-15,P,200,14
2021-06-15,C,250,2
2021-06-15,P,250,2
2021-06-15,C,300,0
2021-06-15,P,300,31
2021-06-15,C,310,0
2021-06-15,P,310,7
2021-06-15,C,320,0
2021-06-15,P,320,4
2021-06-15,C,330,0
2021-06-15,P,330,1
2021-06-15,C,340,0
2021-06-15,P,340,16
2021-06-15,C,350,0
2021-06-15,P,350,22
2021-06-15,C,360,0
2021-06-15,P,360,2
2021-06-15,C,370,0
2021-06-15,P,370,1
2021-06-15,C,380,0
2021-06-15,P,380,1
2021-06-15,C,390,0
2021-06-15,P,390,12
2021-06-15,C,400,1
2021-06-15,P,400,18
2021-06-15,C,410,0
2021-06-15,P,410,18
2021-06-15,C,420,0
2021-06-15,P,420,8
2021-06-15,C,430,0
2021-06-15,P,430,3
2021-06-15,C,440,0
2021-06-15,P,440,4
2021-06-15,C,450,1
2021-06-15,P,450,51
2021-06-15,C,460,0
2021-06-15,P,460,42
2021-06-15,C,470,0
2021-06-15,P,470,30
2021-06-15,C,480,0
2021-06-15,P,480,15
